[1/10000]: param_kd=01, param_n=01, param_alpha=01, param_delta=0.000 -> accuracy=0.4
[2450/10000]: param_kd=04, param_n=02, param_alpha=06, param_delta=0.500 -> accuracy=0.4
[2451/10000]: param_kd=04, param_n=03, param_alpha=10, param_delta=0.900 -> accuracy=0.4
[2452/10000]: param_kd=02, param_n=06, param_alpha=07, param_delta=0.100 -> accuracy=0.4
[2453/10000]: param_kd=02, param_n=03, param_alpha=06, param_delta=0.300 -> accuracy=1.0
[2454/10000]: param_kd=02, param_n=09, param_alpha=07, param_delta=0.900 -> accuracy=0.4
[2455/10000]: param_kd=03, param_n=10, param_alpha=09, param_delta=0.900 -> accuracy=0.4
[2456/10000]: param_kd=02, param_n=06, param_alpha=07, param_delta=0.200 -> accuracy=0.4
[2457/10000]: param_kd=04, param_n=04, param_alpha=01, param_delta=0.000 -> accuracy=0.4
[2458/10000]: param_kd=03, param_n=09, param_alpha=04, param_delta=0.900 -> accuracy=0.4
[2459/10000]: param_kd=02, param_n=09, param_alpha=08, param_delta=0.000 -> accuracy=0.4
[2460/10000]: param_kd=02, param_n=01, param_alpha=10, param_delta=0.500 -> accuracy=0.4
[2461/10000]: param_kd=01, param_n=06, param_alpha=10, param_delta=0.900 -> accuracy=0.4
[2462/10000]: param_kd=02, param_n=06, param_alpha=07, param_delta=0.300 -> accuracy=0.4
[2463/10000]: param_kd=02, param_n=04, param_alpha=08, param_delta=0.800 -> accuracy=0.4
[2464/10000]: param_kd=02, param_n=08, param_alpha=02, param_delta=0.600 -> accuracy=0.4
[2465/10000]: param_kd=04, param_n=04, param_alpha=01, param_delta=0.100 -> accuracy=0.4
[2466/10000]: param_kd=03, param_n=06, param_alpha=05, param_delta=0.600 -> accuracy=0.4
[2467/10000]: param_kd=03, param_n=07, param_alpha=09, param_delta=0.700 -> accuracy=0.4
[2468/10000]: param_kd=04, param_n=05, param_alpha=06, param_delta=0.700 -> accuracy=0.4
[2469/10000]: param_kd=02, param_n=09, param_alpha=08, param_delta=0.100 -> accuracy=0.4
[2470/10000]: param_kd=03, param_n=10, param_alpha=10, param_delta=0.000 -> accuracy=0.4
[2471/10000]: param_kd=03, param_n=09, param_alpha=05, param_delta=0.000 -> accuracy=0.4
[2472/10000]: param_kd=02, param_n=06, param_alpha=07, param_delta=0.400 -> accuracy=0.4
[2473/10000]: param_kd=04, param_n=02, param_alpha=06, param_delta=0.600 -> accuracy=0.4
[2474/10000]: param_kd=04, param_n=04, param_alpha=01, param_delta=0.200 -> accuracy=0.4
[2475/10000]: param_kd=01, param_n=07, param_alpha=01, param_delta=0.000 -> accuracy=0.4
[2476/10000]: param_kd=02, param_n=09, param_alpha=08, param_delta=0.200 -> accuracy=0.4
[2477/10000]: param_kd=04, param_n=04, param_alpha=01, param_delta=0.300 -> accuracy=0.4
[2478/10000]: param_kd=02, param_n=06, param_alpha=07, param_delta=0.500 -> accuracy=0.4
[2479/10000]: param_kd=01, param_n=07, param_alpha=01, param_delta=0.100 -> accuracy=0.4
[2480/10000]: param_kd=03, param_n=10, param_alpha=10, param_delta=0.100 -> accuracy=0.4
[2481/10000]: param_kd=03, param_n=09, param_alpha=05, param_delta=0.100 -> accuracy=0.4
[2482/10000]: param_kd=02, param_n=09, param_alpha=08, param_delta=0.300 -> accuracy=0.4
[2483/10000]: param_kd=01, param_n=10, param_alpha=03, param_delta=0.600 -> accuracy=0.4
[2484/10000]: param_kd=02, param_n=06, param_alpha=07, param_delta=0.600 -> accuracy=0.4
[2485/10000]: param_kd=01, param_n=08, param_alpha=06, param_delta=0.300 -> accuracy=0.4
[2486/10000]: param_kd=04, param_n=04, param_alpha=01, param_delta=0.400 -> accuracy=0.4
[2487/10000]: param_kd=02, param_n=03, param_alpha=06, param_delta=0.400 -> accuracy=0.4
[2488/10000]: param_kd=01, param_n=07, param_alpha=01, param_delta=0.200 -> accuracy=0.4
[2489/10000]: param_kd=02, param_n=01, param_alpha=10, param_delta=0.600 -> accuracy=0.4
[2490/10000]: param_kd=03, param_n=09, param_alpha=05, param_delta=0.200 -> accuracy=0.4
[2491/10000]: param_kd=02, param_n=09, param_alpha=08, param_delta=0.400 -> accuracy=0.4
[2492/10000]: param_kd=04, param_n=05, param_alpha=06, param_delta=0.800 -> accuracy=0.4
[2493/10000]: param_kd=03, param_n=10, param_alpha=10, param_delta=0.200 -> accuracy=0.4
[2494/10000]: param_kd=02, param_n=04, param_alpha=08, param_delta=0.900 -> accuracy=0.4
[2495/10000]: param_kd=02, param_n=08, param_alpha=02, param_delta=0.700 -> accuracy=0.4
[2496/10000]: param_kd=02, param_n=06, param_alpha=07, param_delta=0.700 -> accuracy=0.4
[2497/10000]: param_kd=04, param_n=04, param_alpha=01, param_delta=0.500 -> accuracy=0.4
[2498/10000]: param_kd=03, param_n=06, param_alpha=05, param_delta=0.700 -> accuracy=0.4
[2499/10000]: param_kd=01, param_n=07, param_alpha=01, param_delta=0.300 -> accuracy=0.4
[2500/10000]: param_kd=04, param_n=02, param_alpha=06, param_delta=0.700 -> accuracy=0.4
[2501/10000]: param_kd=03, param_n=09, param_alpha=05, param_delta=0.300 -> accuracy=0.4
[2502/10000]: param_kd=02, param_n=09, param_alpha=08, param_delta=0.500 -> accuracy=0.4
[2503/10000]: param_kd=04, param_n=04, param_alpha=01, param_delta=0.600 -> accuracy=0.4
[2504/10000]: param_kd=03, param_n=07, param_alpha=09, param_delta=0.800 -> accuracy=0.4
[2505/10000]: param_kd=02, param_n=06, param_alpha=07, param_delta=0.800 -> accuracy=0.4
[2506/10000]: param_kd=01, param_n=07, param_alpha=01, param_delta=0.400 -> accuracy=0.4
[2507/10000]: param_kd=03, param_n=09, param_alpha=05, param_delta=0.400 -> accuracy=0.4
[2508/10000]: param_kd=02, param_n=09, param_alpha=08, param_delta=0.600 -> accuracy=0.4
[2509/10000]: param_kd=03, param_n=10, param_alpha=10, param_delta=0.300 -> accuracy=0.4
[2510/10000]: param_kd=04, param_n=04, param_alpha=01, param_delta=0.700 -> accuracy=0.4
[2511/10000]: param_kd=02, param_n=06, param_alpha=07, param_delta=0.900 -> accuracy=0.4
[2512/10000]: param_kd=01, param_n=07, param_alpha=01, param_delta=0.500 -> accuracy=0.4
[2513/10000]: param_kd=03, param_n=09, param_alpha=05, param_delta=0.500 -> accuracy=0.4
[2514/10000]: param_kd=02, param_n=09, param_alpha=08, param_delta=0.700 -> accuracy=0.4
[2515/10000]: param_kd=02, param_n=01, param_alpha=10, param_delta=0.700 -> accuracy=0.4
[2516/10000]: param_kd=04, param_n=04, param_alpha=01, param_delta=0.800 -> accuracy=0.4
[2517/10000]: param_kd=04, param_n=07, param_alpha=02, param_delta=0.100 -> accuracy=0.4
[2518/10000]: param_kd=04, param_n=05, param_alpha=06, param_delta=0.900 -> accuracy=0.4
[2519/10000]: param_kd=01, param_n=07, param_alpha=01, param_delta=0.600 -> accuracy=0.4
[2520/10000]: param_kd=02, param_n=09, param_alpha=08, param_delta=0.800 -> accuracy=0.4
[2521/10000]: param_kd=03, param_n=09, param_alpha=05, param_delta=0.600 -> accuracy=0.4
[2522/10000]: param_kd=04, param_n=02, param_alpha=06, param_delta=0.800 -> accuracy=0.4
[2523/10000]: param_kd=04, param_n=04, param_alpha=01, param_delta=0.900 -> accuracy=0.4
[2524/10000]: param_kd=01, param_n=10, param_alpha=03, param_delta=0.700 -> accuracy=0.4
[2525/10000]: param_kd=04, param_n=07, param_alpha=02, param_delta=0.200 -> accuracy=0.4
[2526/10000]: param_kd=02, param_n=08, param_alpha=02, param_delta=0.800 -> accuracy=0.4
[2527/10000]: param_kd=03, param_n=06, param_alpha=05, param_delta=0.800 -> accuracy=0.4
[2528/10000]: param_kd=02, param_n=04, param_alpha=09, param_delta=0.000 -> accuracy=0.4
[2529/10000]: param_kd=02, param_n=03, param_alpha=06, param_delta=0.500 -> accuracy=0.4
[2530/10000]: param_kd=03, param_n=10, param_alpha=10, param_delta=0.400 -> accuracy=0.4
[2531/10000]: param_kd=01, param_n=07, param_alpha=01, param_delta=0.700 -> accuracy=0.4
[2532/10000]: param_kd=04, param_n=04, param_alpha=02, param_delta=0.000 -> accuracy=0.4
[2533/10000]: param_kd=01, param_n=08, param_alpha=06, param_delta=0.400 -> accuracy=0.4
[2534/10000]: param_kd=03, param_n=07, param_alpha=09, param_delta=0.900 -> accuracy=0.4
[2535/10000]: param_kd=04, param_n=04, param_alpha=02, param_delta=0.100 -> accuracy=0.4
[2536/10000]: param_kd=02, param_n=01, param_alpha=10, param_delta=0.800 -> accuracy=0.4
[2537/10000]: param_kd=04, param_n=04, param_alpha=02, param_delta=0.200 -> accuracy=0.4
[2538/10000]: param_kd=03, param_n=07, param_alpha=10, param_delta=0.000 -> accuracy=0.4
[2539/10000]: param_kd=02, param_n=08, param_alpha=02, param_delta=0.900 -> accuracy=0.4
[2540/10000]: param_kd=04, param_n=05, param_alpha=07, param_delta=0.000 -> accuracy=0.4
[2541/10000]: param_kd=04, param_n=02, param_alpha=06, param_delta=0.900 -> accuracy=0.4
[2542/10000]: param_kd=03, param_n=09, param_alpha=05, param_delta=0.700 -> accuracy=0.4
[2543/10000]: param_kd=04, param_n=07, param_alpha=02, param_delta=0.300 -> accuracy=0.4
[2544/10000]: param_kd=04, param_n=04, param_alpha=02, param_delta=0.300 -> accuracy=0.4
[2545/10000]: param_kd=03, param_n=06, param_alpha=05, param_delta=0.900 -> accuracy=0.4
[2546/10000]: param_kd=03, param_n=07, param_alpha=10, param_delta=0.100 -> accuracy=0.4
[2547/10000]: param_kd=01, param_n=07, param_alpha=01, param_delta=0.800 -> accuracy=0.4
[2548/10000]: param_kd=04, param_n=08, param_alpha=07, param_delta=0.800 -> accuracy=0.4
[2549/10000]: param_kd=02, param_n=04, param_alpha=09, param_delta=0.100 -> accuracy=1.0
[2550/10000]: param_kd=02, param_n=09, param_alpha=08, param_delta=0.900 -> accuracy=0.4
[2551/10000]: param_kd=04, param_n=04, param_alpha=02, param_delta=0.400 -> accuracy=0.4
[2552/10000]: param_kd=01, param_n=10, param_alpha=03, param_delta=0.800 -> accuracy=0.4
[2553/10000]: param_kd=03, param_n=07, param_alpha=10, param_delta=0.200 -> accuracy=0.4
[2554/10000]: param_kd=04, param_n=04, param_alpha=02, param_delta=0.500 -> accuracy=0.4
[2555/10000]: param_kd=02, param_n=08, param_alpha=03, param_delta=0.000 -> accuracy=0.4
[2556/10000]: param_kd=03, param_n=07, param_alpha=10, param_delta=0.300 -> accuracy=0.4
[2557/10000]: param_kd=04, param_n=04, param_alpha=02, param_delta=0.600 -> accuracy=0.4
[2558/10000]: param_kd=04, param_n=02, param_alpha=07, param_delta=0.000 -> accuracy=0.4
[2559/10000]: param_kd=01, param_n=08, param_alpha=06, param_delta=0.500 -> accuracy=0.4
[2560/10000]: param_kd=04, param_n=10, param_alpha=03, param_delta=0.500 -> accuracy=0.4
[2561/10000]: param_kd=03, param_n=10, param_alpha=10, param_delta=0.500 -> accuracy=0.4
[2562/10000]: param_kd=04, param_n=07, param_alpha=02, param_delta=0.400 -> accuracy=0.4
[2563/10000]: param_kd=03, param_n=07, param_alpha=10, param_delta=0.400 -> accuracy=0.4
[2564/10000]: param_kd=04, param_n=04, param_alpha=02, param_delta=0.700 -> accuracy=0.4
[2565/10000]: param_kd=04, param_n=05, param_alpha=07, param_delta=0.100 -> accuracy=1.0
[2566/10000]: param_kd=01, param_n=07, param_alpha=01, param_delta=0.900 -> accuracy=0.4
[2567/10000]: param_kd=03, param_n=06, param_alpha=06, param_delta=0.000 -> accuracy=0.4
[2568/10000]: param_kd=03, param_n=09, param_alpha=05, param_delta=0.800 -> accuracy=0.4
[2569/10000]: param_kd=04, param_n=04, param_alpha=02, param_delta=0.800 -> accuracy=0.4
[2570/10000]: param_kd=03, param_n=07, param_alpha=10, param_delta=0.500 -> accuracy=0.4
[2571/10000]: param_kd=04, param_n=08, param_alpha=07, param_delta=0.900 -> accuracy=0.4
[2572/10000]: param_kd=02, param_n=04, param_alpha=09, param_delta=0.200 -> accuracy=1.0
[2573/10000]: param_kd=02, param_n=08, param_alpha=03, param_delta=0.100 -> accuracy=0.4
[2574/10000]: param_kd=02, param_n=09, param_alpha=09, param_delta=0.000 -> accuracy=0.4
[2575/10000]: param_kd=04, param_n=04, param_alpha=02, param_delta=0.900 -> accuracy=0.4
[2576/10000]: param_kd=03, param_n=07, param_alpha=10, param_delta=0.600 -> accuracy=0.4
[2577/10000]: param_kd=04, param_n=02, param_alpha=07, param_delta=0.100 -> accuracy=0.4
[2578/10000]: param_kd=01, param_n=10, param_alpha=03, param_delta=0.900 -> accuracy=0.4
[2579/10000]: param_kd=04, param_n=04, param_alpha=03, param_delta=0.000 -> accuracy=0.4
[2580/10000]: param_kd=04, param_n=07, param_alpha=02, param_delta=0.500 -> accuracy=0.4
[2581/10000]: param_kd=03, param_n=07, param_alpha=10, param_delta=0.700 -> accuracy=0.4
[2582/10000]: param_kd=04, param_n=10, param_alpha=03, param_delta=0.600 -> accuracy=0.4
[2583/10000]: param_kd=01, param_n=07, param_alpha=02, param_delta=0.000 -> accuracy=0.4
[2584/10000]: param_kd=04, param_n=04, param_alpha=03, param_delta=0.100 -> accuracy=0.4
[2585/10000]: param_kd=01, param_n=08, param_alpha=06, param_delta=0.600 -> accuracy=0.4
[2586/10000]: param_kd=03, param_n=07, param_alpha=10, param_delta=0.800 -> accuracy=0.4
[2587/10000]: param_kd=03, param_n=06, param_alpha=06, param_delta=0.100 -> accuracy=0.4
[2588/10000]: param_kd=04, param_n=04, param_alpha=03, param_delta=0.200 -> accuracy=0.4
[2589/10000]: param_kd=03, param_n=09, param_alpha=05, param_delta=0.900 -> accuracy=0.4
[2590/10000]: param_kd=04, param_n=05, param_alpha=07, param_delta=0.200 -> accuracy=1.0
[2591/10000]: param_kd=02, param_n=08, param_alpha=03, param_delta=0.200 -> accuracy=0.4
[2592/10000]: param_kd=03, param_n=10, param_alpha=10, param_delta=0.600 -> accuracy=0.4
[2593/10000]: param_kd=04, param_n=08, param_alpha=08, param_delta=0.000 -> accuracy=0.4
[2594/10000]: param_kd=04, param_n=02, param_alpha=07, param_delta=0.200 -> accuracy=0.4
[2595/10000]: param_kd=03, param_n=09, param_alpha=06, param_delta=0.000 -> accuracy=0.4
[2596/10000]: param_kd=02, param_n=04, param_alpha=09, param_delta=0.300 -> accuracy=1.0
[2597/10000]: param_kd=02, param_n=09, param_alpha=09, param_delta=0.100 -> accuracy=0.4
[2598/10000]: param_kd=04, param_n=07, param_alpha=02, param_delta=0.600 -> accuracy=0.4
[2599/10000]: param_kd=01, param_n=07, param_alpha=02, param_delta=0.100 -> accuracy=0.4
[2600/10000]: param_kd=01, param_n=10, param_alpha=04, param_delta=0.000 -> accuracy=0.4
[2601/10000]: param_kd=03, param_n=09, param_alpha=06, param_delta=0.100 -> accuracy=0.4
[2602/10000]: param_kd=04, param_n=10, param_alpha=03, param_delta=0.700 -> accuracy=0.4
[2603/10000]: param_kd=04, param_n=04, param_alpha=03, param_delta=0.300 -> accuracy=0.4
[2604/10000]: param_kd=03, param_n=09, param_alpha=06, param_delta=0.200 -> accuracy=0.4
[2605/10000]: param_kd=01, param_n=08, param_alpha=06, param_delta=0.700 -> accuracy=0.4
[2606/10000]: param_kd=03, param_n=07, param_alpha=10, param_delta=0.900 -> accuracy=0.4
[2607/10000]: param_kd=04, param_n=02, param_alpha=07, param_delta=0.300 -> accuracy=0.4
[2608/10000]: param_kd=04, param_n=05, param_alpha=07, param_delta=0.300 -> accuracy=0.4
[2609/10000]: param_kd=03, param_n=06, param_alpha=06, param_delta=0.200 -> accuracy=0.4
[2610/10000]: param_kd=03, param_n=09, param_alpha=06, param_delta=0.300 -> accuracy=0.4
[2611/10000]: param_kd=02, param_n=08, param_alpha=03, param_delta=0.300 -> accuracy=0.4
[2612/10000]: param_kd=03, param_n=08, param_alpha=01, param_delta=0.000 -> accuracy=0.4
[2613/10000]: param_kd=04, param_n=07, param_alpha=02, param_delta=0.700 -> accuracy=0.4
[2614/10000]: param_kd=02, param_n=04, param_alpha=09, param_delta=0.400 -> accuracy=0.4
[2615/10000]: param_kd=03, param_n=09, param_alpha=06, param_delta=0.400 -> accuracy=0.4
[2616/10000]: param_kd=03, param_n=10, param_alpha=10, param_delta=0.700 -> accuracy=0.4
[2617/10000]: param_kd=03, param_n=08, param_alpha=01, param_delta=0.100 -> accuracy=0.4
[2618/10000]: param_kd=04, param_n=08, param_alpha=08, param_delta=0.100 -> accuracy=1.0
[2619/10000]: param_kd=02, param_n=09, param_alpha=09, param_delta=0.200 -> accuracy=0.4
[2620/10000]: param_kd=04, param_n=10, param_alpha=03, param_delta=0.800 -> accuracy=0.4
[2621/10000]: param_kd=04, param_n=04, param_alpha=03, param_delta=0.400 -> accuracy=0.4
[2622/10000]: param_kd=01, param_n=07, param_alpha=02, param_delta=0.200 -> accuracy=0.4
[2623/10000]: param_kd=03, param_n=09, param_alpha=06, param_delta=0.500 -> accuracy=0.4
[2624/10000]: param_kd=03, param_n=08, param_alpha=01, param_delta=0.200 -> accuracy=0.4
[2625/10000]: param_kd=04, param_n=02, param_alpha=07, param_delta=0.400 -> accuracy=0.4
[2626/10000]: param_kd=01, param_n=10, param_alpha=04, param_delta=0.100 -> accuracy=0.4
[2627/10000]: param_kd=03, param_n=09, param_alpha=06, param_delta=0.600 -> accuracy=0.4
[2628/10000]: param_kd=04, param_n=07, param_alpha=02, param_delta=0.800 -> accuracy=0.4
[2629/10000]: param_kd=03, param_n=08, param_alpha=01, param_delta=0.300 -> accuracy=0.4
[2630/10000]: param_kd=04, param_n=05, param_alpha=07, param_delta=0.400 -> accuracy=0.4
[2631/10000]: param_kd=03, param_n=06, param_alpha=06, param_delta=0.300 -> accuracy=0.4
[2632/10000]: param_kd=03, param_n=09, param_alpha=06, param_delta=0.700 -> accuracy=0.4
[2633/10000]: param_kd=01, param_n=08, param_alpha=06, param_delta=0.800 -> accuracy=0.4
[2634/10000]: param_kd=03, param_n=08, param_alpha=01, param_delta=0.400 -> accuracy=0.4
[2635/10000]: param_kd=02, param_n=08, param_alpha=03, param_delta=0.400 -> accuracy=0.4
[2636/10000]: param_kd=02, param_n=04, param_alpha=09, param_delta=0.500 -> accuracy=0.4
[2637/10000]: param_kd=04, param_n=10, param_alpha=03, param_delta=0.900 -> accuracy=0.4
[2638/10000]: param_kd=04, param_n=04, param_alpha=03, param_delta=0.500 -> accuracy=0.4
[2639/10000]: param_kd=03, param_n=09, param_alpha=06, param_delta=0.800 -> accuracy=0.4
[2640/10000]: param_kd=03, param_n=08, param_alpha=01, param_delta=0.500 -> accuracy=0.4
[2641/10000]: param_kd=03, param_n=10, param_alpha=10, param_delta=0.800 -> accuracy=0.4
[2642/10000]: param_kd=04, param_n=02, param_alpha=07, param_delta=0.500 -> accuracy=0.4
[2643/10000]: param_kd=03, param_n=09, param_alpha=06, param_delta=0.900 -> accuracy=0.4
[2644/10000]: param_kd=01, param_n=07, param_alpha=02, param_delta=0.300 -> accuracy=0.4
[2645/10000]: param_kd=02, param_n=09, param_alpha=09, param_delta=0.300 -> accuracy=0.4
[2646/10000]: param_kd=04, param_n=07, param_alpha=02, param_delta=0.900 -> accuracy=0.4
[2647/10000]: param_kd=03, param_n=08, param_alpha=01, param_delta=0.600 -> accuracy=0.4
[2648/10000]: param_kd=04, param_n=08, param_alpha=08, param_delta=0.200 -> accuracy=1.0
[2649/10000]: param_kd=03, param_n=09, param_alpha=07, param_delta=0.000 -> accuracy=0.4
[2650/10000]: param_kd=04, param_n=07, param_alpha=03, param_delta=0.000 -> accuracy=0.4
[2651/10000]: param_kd=01, param_n=10, param_alpha=04, param_delta=0.200 -> accuracy=0.4
[2652/10000]: param_kd=04, param_n=05, param_alpha=07, param_delta=0.500 -> accuracy=0.4
[2653/10000]: param_kd=03, param_n=09, param_alpha=07, param_delta=0.100 -> accuracy=0.4
[2654/10000]: param_kd=04, param_n=10, param_alpha=04, param_delta=0.000 -> accuracy=0.4
[2655/10000]: param_kd=03, param_n=06, param_alpha=06, param_delta=0.400 -> accuracy=0.4
[2656/10000]: param_kd=04, param_n=04, param_alpha=03, param_delta=0.600 -> accuracy=0.4
[2657/10000]: param_kd=04, param_n=07, param_alpha=03, param_delta=0.100 -> accuracy=0.4
[2658/10000]: param_kd=02, param_n=04, param_alpha=09, param_delta=0.600 -> accuracy=0.4
[2659/10000]: param_kd=02, param_n=08, param_alpha=03, param_delta=0.500 -> accuracy=0.4
[2660/10000]: param_kd=05, param_n=01, param_alpha=09, param_delta=0.200 -> accuracy=0.4
[2661/10000]: param_kd=03, param_n=09, param_alpha=07, param_delta=0.200 -> accuracy=0.4
[2662/10000]: param_kd=01, param_n=08, param_alpha=06, param_delta=0.900 -> accuracy=0.4
[2663/10000]: param_kd=03, param_n=08, param_alpha=01, param_delta=0.700 -> accuracy=0.4
[2664/10000]: param_kd=04, param_n=02, param_alpha=07, param_delta=0.600 -> accuracy=0.4
[2665/10000]: param_kd=04, param_n=07, param_alpha=03, param_delta=0.200 -> accuracy=0.4
[2666/10000]: param_kd=03, param_n=10, param_alpha=10, param_delta=0.900 -> accuracy=0.4
[2667/10000]: param_kd=03, param_n=09, param_alpha=07, param_delta=0.300 -> accuracy=0.4
[2668/10000]: param_kd=01, param_n=08, param_alpha=07, param_delta=0.000 -> accuracy=0.4
[2669/10000]: param_kd=01, param_n=07, param_alpha=02, param_delta=0.400 -> accuracy=0.4
[2670/10000]: param_kd=04, param_n=07, param_alpha=03, param_delta=0.300 -> accuracy=0.4
[2671/10000]: param_kd=04, param_n=01, param_alpha=01, param_delta=0.000 -> accuracy=0.4
[2672/10000]: param_kd=03, param_n=09, param_alpha=07, param_delta=0.400 -> accuracy=0.4
[2673/10000]: param_kd=01, param_n=08, param_alpha=07, param_delta=0.100 -> accuracy=0.4
[2674/10000]: param_kd=04, param_n=08, param_alpha=08, param_delta=0.300 -> accuracy=0.4
[2675/10000]: param_kd=04, param_n=01, param_alpha=01, param_delta=0.100 -> accuracy=0.4
[2676/10000]: param_kd=04, param_n=04, param_alpha=03, param_delta=0.700 -> accuracy=0.4
[2677/10000]: param_kd=04, param_n=07, param_alpha=03, param_delta=0.400 -> accuracy=0.4
[2678/10000]: param_kd=04, param_n=05, param_alpha=07, param_delta=0.600 -> accuracy=0.4
[2679/10000]: param_kd=05, param_n=01, param_alpha=09, param_delta=0.300 -> accuracy=0.4
[2680/10000]: param_kd=04, param_n=01, param_alpha=01, param_delta=0.200 -> accuracy=0.4
[2681/10000]: param_kd=03, param_n=09, param_alpha=07, param_delta=0.500 -> accuracy=0.4
[2682/10000]: param_kd=03, param_n=06, param_alpha=06, param_delta=0.500 -> accuracy=0.4
[2683/10000]: param_kd=01, param_n=08, param_alpha=07, param_delta=0.200 -> accuracy=0.4
[2684/10000]: param_kd=03, param_n=08, param_alpha=01, param_delta=0.800 -> accuracy=0.4
[2685/10000]: param_kd=04, param_n=07, param_alpha=03, param_delta=0.500 -> accuracy=0.4
[2686/10000]: param_kd=01, param_n=10, param_alpha=04, param_delta=0.300 -> accuracy=0.4
[2687/10000]: param_kd=04, param_n=10, param_alpha=04, param_delta=0.100 -> accuracy=0.4
[2688/10000]: param_kd=04, param_n=02, param_alpha=07, param_delta=0.700 -> accuracy=0.4
[2689/10000]: param_kd=04, param_n=01, param_alpha=01, param_delta=0.300 -> accuracy=0.4
[2690/10000]: param_kd=02, param_n=08, param_alpha=03, param_delta=0.600 -> accuracy=0.4
[2691/10000]: param_kd=02, param_n=04, param_alpha=09, param_delta=0.700 -> accuracy=0.4
[2692/10000]: param_kd=03, param_n=09, param_alpha=07, param_delta=0.600 -> accuracy=0.4
[2693/10000]: param_kd=01, param_n=08, param_alpha=07, param_delta=0.300 -> accuracy=0.4
[2694/10000]: param_kd=04, param_n=01, param_alpha=01, param_delta=0.400 -> accuracy=0.4
[2695/10000]: param_kd=04, param_n=07, param_alpha=03, param_delta=0.600 -> accuracy=0.4
[2696/10000]: param_kd=04, param_n=01, param_alpha=01, param_delta=0.500 -> accuracy=0.4
[2697/10000]: param_kd=03, param_n=09, param_alpha=07, param_delta=0.700 -> accuracy=0.4
[2698/10000]: param_kd=01, param_n=08, param_alpha=07, param_delta=0.400 -> accuracy=0.4
[2699/10000]: param_kd=01, param_n=07, param_alpha=02, param_delta=0.500 -> accuracy=0.4
[2700/10000]: param_kd=04, param_n=04, param_alpha=03, param_delta=0.800 -> accuracy=0.4
[2701/10000]: param_kd=04, param_n=07, param_alpha=03, param_delta=0.700 -> accuracy=0.4
[2702/10000]: param_kd=05, param_n=01, param_alpha=09, param_delta=0.400 -> accuracy=0.4
[2703/10000]: param_kd=04, param_n=01, param_alpha=01, param_delta=0.600 -> accuracy=0.4
[2704/10000]: param_kd=03, param_n=09, param_alpha=07, param_delta=0.800 -> accuracy=0.4
[2705/10000]: param_kd=03, param_n=08, param_alpha=01, param_delta=0.900 -> accuracy=0.4
[2706/10000]: param_kd=01, param_n=08, param_alpha=07, param_delta=0.500 -> accuracy=0.4
[2707/10000]: param_kd=04, param_n=01, param_alpha=01, param_delta=0.700 -> accuracy=0.4
[2708/10000]: param_kd=04, param_n=05, param_alpha=07, param_delta=0.700 -> accuracy=0.4
[2709/10000]: param_kd=04, param_n=07, param_alpha=03, param_delta=0.800 -> accuracy=0.4
[2710/10000]: param_kd=04, param_n=08, param_alpha=08, param_delta=0.400 -> accuracy=0.4
[2711/10000]: param_kd=04, param_n=01, param_alpha=01, param_delta=0.800 -> accuracy=0.4
[2712/10000]: param_kd=03, param_n=06, param_alpha=06, param_delta=0.600 -> accuracy=0.4
[2713/10000]: param_kd=03, param_n=09, param_alpha=07, param_delta=0.900 -> accuracy=0.4
[2714/10000]: param_kd=01, param_n=08, param_alpha=07, param_delta=0.600 -> accuracy=0.4
[2715/10000]: param_kd=04, param_n=02, param_alpha=07, param_delta=0.800 -> accuracy=0.4
[2716/10000]: param_kd=04, param_n=01, param_alpha=01, param_delta=0.900 -> accuracy=0.4
[2717/10000]: param_kd=04, param_n=07, param_alpha=03, param_delta=0.900 -> accuracy=0.4
[2718/10000]: param_kd=05, param_n=03, param_alpha=04, param_delta=0.900 -> accuracy=0.4
[2719/10000]: param_kd=04, param_n=10, param_alpha=04, param_delta=0.200 -> accuracy=0.4
[2720/10000]: param_kd=03, param_n=09, param_alpha=08, param_delta=0.000 -> accuracy=0.4
[2721/10000]: param_kd=01, param_n=08, param_alpha=07, param_delta=0.700 -> accuracy=0.4
[2722/10000]: param_kd=04, param_n=01, param_alpha=02, param_delta=0.000 -> accuracy=0.4
[2723/10000]: param_kd=02, param_n=04, param_alpha=09, param_delta=0.800 -> accuracy=0.4
[2724/10000]: param_kd=05, param_n=01, param_alpha=09, param_delta=0.500 -> accuracy=0.4
[2725/10000]: param_kd=04, param_n=04, param_alpha=03, param_delta=0.900 -> accuracy=0.4
[2726/10000]: param_kd=01, param_n=10, param_alpha=04, param_delta=0.400 -> accuracy=0.4
[2727/10000]: param_kd=04, param_n=07, param_alpha=04, param_delta=0.000 -> accuracy=0.4
[2728/10000]: param_kd=01, param_n=07, param_alpha=02, param_delta=0.600 -> accuracy=0.4
[2729/10000]: param_kd=03, param_n=08, param_alpha=02, param_delta=0.000 -> accuracy=0.4
[2730/10000]: param_kd=04, param_n=04, param_alpha=04, param_delta=0.000 -> accuracy=0.4
[2731/10000]: param_kd=04, param_n=05, param_alpha=07, param_delta=0.800 -> accuracy=0.4
[2732/10000]: param_kd=04, param_n=04, param_alpha=04, param_delta=0.100 -> accuracy=0.4
[2733/10000]: param_kd=04, param_n=02, param_alpha=07, param_delta=0.900 -> accuracy=0.4
